BALE BREAKER BREWING,1900.88,2282.84,1416.19,1276.72,1535.06,2302.83,2140.11,1822.97,1802.26,2088.51,1536.51,1709.75
MCKENZIE RIVER BREWING,1857.45,1969.63,1729.77,1355.3,1592.55,1887.08,1558.16,1764.65,2063.95,1968.3,2085.2,2204.07
SIERRA NEVADA BREWING,2078.03,2035.3,1250.07,1226.04,1986.21,1599.29,1758.16,1555.93,1793.85,1521.78,1431.73,2095.25
SILVER CITY BREWERY,2372.86,2169.09,1591.01,1516.41,1248.72,1417.5,2218.78,101.71,2621.8,1617.34,1524.62,1722.27
SCHOONER EXACT BREWING,848.41,6889.21,712.39,2567.5,-37.89,-170.53,1873.63,2582.51,1477.33,513.11,1843.76,-70.33
PHUSION PROJECTS,2146.99,1544.71,2291.14,534.71,1996.1,892.83,1487.4,1395.43,792.21,2619.58,994.56,2426.68
ALASKAN BREWING CO.,1986.35,1117.23,702.09,1561.19,158.15,773.64,1605.37,1665.52,2329.04,777.53,1408.52,1139.28
NINKASI BREWERY,1133.69,1121.61,1034.54,1014.57,1384.46,1508.98,1220.72,856.75,1283.5,933.52,1521.46,1334.95
NO-LI BREWHOUSE,1408.57,1295.5,1344.53,954.51,742.06,1396.96,1246.7,1113.38,1056.81,1029.92,1226.51,1409.41
THE ODOM CORPORATION,1630.62,,,1891.45,1227.02,1710.65,2243.34,1684.84,2297.91,,,
ELYSIAN BREWING COMPANY,2182.4,1545.98,732.5,780.65,874.69,1211.8,947.41,-101.03,1447.5,507.17,1627.5,1207.3
IRON HORSE BREWERY,1093.89,1237.49,1979.11,1430.1,998.4,1135.27,1146.92,1344.42,955.27,-41.19,967.29,1070.83
PFRIEM FAMILY BREWERS,827.26,1197.73,711.31,690.89,679.43,971.54,1048.89,1090.49,952.53,653.78,902.47,1035.21
KULSHAN BREWING COMPANY,744.51,1149.5,610.5,614.75,557.32,964.32,862.93,723.39,899.58,800.22,639.59,801.48
ICICLE BREWING COMPANY,608.05,812.67,752.14,555.02,550.86,931.51,927.36,828.06,697.81,732.53,803.42,1012.73
THE LAGUNITAS BREWING,1165.13,932.96,492.07,659.76,653.04,1053.96,-0.07,1261.39,332.56,1016.83,-2.57,791.96
HIGH FALLS OPERATING CO.,724.58,1833.25,142.8,812.89,564.93,915.58,646.68,896.31,-2.46,231.06,239.13,921.04
FORT GEORGE BREWERY,558.56,737.09,641.38,408.46,577.59,669.92,921.18,856.96,825.01,574.52,487.99,862.18
PELICAN PUB & BREWERY,754.76,-24.18,505.5,557.58,587.35,658.72,618.64,685.7,790.04,497.96,2082.18,-3.4
WORTHY BREWING,48.41,6624.3,,43.8,,59.42,,,21.05,54.59,,
FOUNDERS BREWING COMPANY,862.39,639.51,418.86,700.07,451.91,608.59,886.23,526.48,529.96,554.18,282.07,629.86
ODOM COA LICENSING LLC,,1782.27,1236.61,,,69.29,-435.63,,,1457.64,1820.32,1210.36
GORDON BIERSCH BREWING,305.73,820.69,344.91,390.19,287.42,833.51,741.21,602.73,448.58,581.79,37.45,847.47
BAYFRONT BREWERY,590.72,612.53,1433.62,98.19,858.59,-50.57,916.13,338.87,755.6,-2,798.99,944.98
STONE BREWING CO,432.07,508.12,341.44,315.12,456.92,497.76,737.81,390.71,592.68,445.21,456.42,446.51
BOUNDARY BAY BREWERY AND,559.19,461.11,340.11,416.68,304.31,577.56,613.18,495.1,458.02,372.26,477.46,538.55
FULL SAIL BREWING COMPANY,825.34,768.39,220.31,404.93,404.93,342.63,590.5,471.85,440.18,108.87,377.56,528.07
STOUP BREWING,448.93,523.95,391.1,420.3,301.94,481.77,566.31,480.97,466.55,371.95,480.2,542.94
ECLIPTIC BREWING,-18.23,520.86,337.14,396.77,380.76,532.42,563.63,590.32,816.92,401.36,298.55,490.67
ASLAN BREWING COMPANY,472.59,624.47,360.64,329.33,362.67,502.5,557.23,483.91,394.46,404.17,366.27,356.63
7 SEAS BREWING,481.85,563.28,432,336.01,315.96,609.43,544.22,305.77,442.82,276.61,417.86,416.25
SCUTTLEBUTT BREWING CO.,448.99,406.59,321.87,279.2,311.3,464.24,499.67,325.26,383.76,255.78,353.16,386.33
PIKE BREWING COMPANY AND,307.71,375.46,367.06,222.27,264.72,349.19,527.75,300.07,301.03,420.38,508.14,468.11
DRU BRU,302.57,466.01,365.75,302.96,206.37,433.26,442.43,337.66,327.29,360.73,314.67,519.14
BREAKSIDE BREWERY,280.62,496.77,371.42,392.44,257.92,297.09,434.55,351.12,354.41,297.22,216.69,424.69
CHUCKANUT BREWERY,291.1,457.6,252.11,283.3,263.4,349.3,389.8,465.2,351.45,591.3,-1.5,322.6
C. STEIN,163.64,554.47,226.74,173.31,454.71,410.77,237.66,170.38,229.88,314.01,397.72,396.38
ASSOCIATED BREWING COMPANY,433.06,284.84,150.38,214.03,-3.09,208.51,629.26,191.25,440,759.95,-10.88,167.76
FIRESTONE WALKER BREWING,391.57,325.36,248.43,224.52,159.03,341.23,348.11,335.86,343.89,94.49,238.33,467.77
DIAMOND KNOT BREWING COM.,287.11,366.4,183.75,214.13,198.34,264.72,308.92,375.71,358.21,308.86,282.43,276.66
HELLBENT BREWING,305.08,378.17,247.41,279.75,221.72,276.78,359.03,300.26,262.63,269.32,262.31,325.08
SEAPINE BREWING COMPANY,,,,809.56,,327,,,642.5,743.39,,682.59
E9 BREWING CO,225.03,232.84,232.3,187.39,142.89,218.46,230.98,221.89,208.38,192.9,180.98,1160.95
EVERYBODYS BREWING,278.26,409.67,187.26,200.68,184.47,284.98,313.73,320.71,295.38,276.42,206.14,313.55
MATCHLESS,241.68,342.29,260.11,197.76,177.36,256.93,271.58,248.54,245.42,239.84,191.73,352.67
UNITED BRANDS COMPANY INC,,-0.21,,,1785.86,-0.07,,887.2,-1.36,-0.21,,
BUOY BEER COMPANY,145.56,368,241.23,168.71,213.41,298.28,176.62,363.45,232.57,126.14,204.57,293.71
SAZERAC COMPANY INC.,226.45,579.7,112.37,,3.96,299.81,492.29,265.71,53.51,443.43,90.25,108.53
BACKWOODS BREWING COMPANY,210.97,280.55,229.86,162.26,148.47,229.94,275.74,246.93,201.53,140.69,255.23,281.01
GREAT NOTION BREWING AND,151.23,419.88,147.55,119.41,141.01,208.69,257.54,153.92,331.96,185.88,171.37,202
OSKAR BLUES BREWERY,420.99,367.4,-29.08,184.56,73.36,117.39,-55.25,-89.13,270.89,120.67,356.91,562.4
JUNESHINE,292.78,-30.73,-41.22,214.6,-46.32,658.52,318.24,95.74,174.08,56.15,102.11,439.76
HOLY MOUNTAIN BREWING,,250.54,186.32,124.11,243.1,243.69,204.24,213.74,325.49,183.5,415.76,
NARROWS BREWING COMPANY,201.78,305.47,110.21,118.41,137.17,194.71,211.05,211.22,255.36,207.36,170.56,163.76
RAM BREWERY,223.4,139.65,173,150.8,185.5,187.3,199.25,214.25,186.75,183.25,262.75,200.4
URBAN FAMILY BREWING,,254.16,111.19,135.95,153.83,248.38,260.18,214.11,360.03,152.9,323.29,
OLD STOVE BREWING COMPANY,231.49,256.68,111.82,120.47,173.49,204.31,310.67,109.55,241.14,125.22,148.66,159.51
TWO BEERS BREWING COMPANY,153.65,247.76,154.85,109.67,133.1,203.75,194.9,153.65,182.61,180.05,183,259.35
BRICK WEST BREWING,154.67,154.63,163.09,110.65,153.33,184.62,223.45,201.44,182.94,113.69,198.86,193.33
CLOUDBURST BREWING,175.84,196.28,150.56,159.64,139.42,166.44,181.92,181.46,167.88,147.81,164.29,168.52
WANDER BREWING,182.97,220.62,106.86,136.75,107.96,177.33,175.19,199.87,183.47,144.36,134.83,166.52
UNITED BRANDS LLC,,,-0.14,,,,,,,915.98,-0.14,895.07
SAN JUAN BREWING COMPANY,205.86,218.43,87.95,97.27,97.7,275.84,179.1,84.9,140.46,88.17,139.17,216.6
BARREL MOUNTAIN BREWING,153.19,209.85,121.47,111.75,106.29,143.91,183.67,167.61,191.01,152.74,150.98,156.76
GHOSTFISH BREWING COMPANY,144.68,168.36,156.32,150.56,97.63,176.19,198.79,107.58,158.43,140.69,161.31,223.38
SAPPORO U.S.A.,41.57,299.1,285.74,262.66,-30.78,202.02,76.25,2.99,88.94,255.08,555.24,-32.1
MARITIME PACIFIC BREWING,117.02,152.79,131.69,86.28,76.87,146.35,146.16,126.65,122.58,183.03,399.9,160.75
SPOETZL BREWERY,146.4,186.13,85.05,21.76,186.75,240.96,119.43,272.41,145.09,131.41,109.31,133.29
STEMMA BREWING,114.27,163.67,99.72,230.3,-13.44,123.83,140.32,130.16,179.86,194.6,163.11,172.39
RAVENNA BREWING COMPANY,,,,,159.3,356.44,,264.23,279.05,250.37,,286.65
OLD SCHOOLHOUSE BREWERY,181.3,407.36,235.6,271.17,,155.1,150.4,185.9,,,187.4,
BIG SKY BREWING COMPANY,166.62,228.86,499.83,149.34,164.54,37,210.92,74.35,141.9,-22.61,122.44,182.44
CRUX FERMENTATION PROJECT,,160.35,227.73,,,93.54,352.02,,228.67,290.71,104.2,194.8
MCMENAMINS ANDERSON SCHOOL,278.65,146.47,101.79,80.46,141.64,83.29,99.78,98.34,137.19,104.73,104.38,120.75
54-40 BREWING COMPANY,,,-1.82,329.07,,160.46,171.2,132.42,242.45,-0.5,355.19,
LOST COAST BREWERY & CAFE,171.07,142.44,72.57,38.11,155.65,183.94,156.38,113.86,115.53,82.39,82.3,144.92
CHAINLINE BREWERY,139.59,179.1,84.98,123.38,66.74,136.94,262.77,126.59,-0.29,95.47,88.73,161.48
VARIETAL BEER COMPANY,,321.64,,193.7,,,158.55,110.67,187.34,256.27,,146.97
LOOWIT BREWING COMPANY,143.4,108.48,150.97,101.64,102.56,127.61,166.49,152.03,106.22,105.98,103.54,153.42
ICE HARBOR BREWING COMPANY,154.29,121.71,82.59,100.3,94.99,154.24,134.16,147.57,124.7,101.4,97.39,126.72
JELLYFISH BREWING COMPANY,116.78,168.6,98.6,98.81,91.58,147.46,130.36,119.72,115.78,91.7,123.21,140.5
FERMENTED SCIENCES II,-3.87,74.79,56.15,98.56,106.92,141.78,127.78,444.16,26.12,12.66,119,155.32
OPTIMISM BREWING,115.1,120,89.7,115.79,61.7,116.1,142.86,143.2,111.5,236.98,,135.35
POSTDOC BREWING COMPANY,114.98,156.95,104.77,89.69,83.6,151.09,153.98,126.04,98.6,81.22,119.67,104.12
HOPWORKS URBAN BREWERY,126.08,79.41,80.01,142.05,102.03,152.3,92.84,90.83,115.93,104.26,151.66,104.31
TEN PIN BREWING,139.53,132.24,40.71,66.05,97.56,189.65,124.18,88.05,129.23,106.16,58.37,111.24
GRAINS OF WRATH BREWERY,,,901.57,,,,,861.56,,,368.55,
GOODLIFE BREWING COMPANY,108.86,-2.87,24.43,95.55,88.74,125.89,61.22,117.89,145.37,78.22,26.34,368.8
FUTURE PRIMITIVE BREWING,,90.08,92.96,74.43,93.77,92.88,147.89,123.34,249.19,73.7,84.91,153.97
TWIN SISTERS BREWING,121.08,99.6,62.79,109.04,57.11,142.62,143.22,108.02,134.21,83.07,87.67,93.03
SKOOKUM BREWERY,91.34,123.97,110.31,97.58,118.41,106.25,99.47,113.01,157.83,91.6,65.59,96.47
WHITE BLUFFS BREWING,106.39,113.58,114.72,109.82,95.68,79.97,135.97,107.8,104.73,87.19,96.2,123.82
MCMENAMINS ELKS TEMPLE,197.75,105,73.5,74.5,110.25,99,126.5,72.75,96.5,80.5,71,96.25
FARMSTRONG BREWING COMPANY,104.67,213.71,378.68,73.98,85.7,154.8,163.76,153.2,165.96,,,
MOTHER FERN BREWING,148,216,125,47.75,61,91.5,297,107,,147.5,,
BROTHERS CASCADIA BREWING,,72.43,72.81,127.43,98.21,105.48,124.47,115.64,195.27,92.9,84.7,98.12
STRUCTURES BREWING,91.5,85.5,96,80.5,95.5,98,117,129,99,89,104,108
LUMBERBEARD BREWING,98.07,101.51,66.37,77.71,67.97,130.16,126.81,104.38,117.04,91.48,93.16,87.35
MPL BRANDS NV,,,,,,,,-0.36,1094.52,,,
WHIPSAW BREWING,84.17,132.65,69.48,36.25,30.59,97.99,128.14,58.02,89.36,117.2,131.33,138.51
BELCHING BEAVER BREWERY,100.76,77.57,67.02,181.79,-0.5,65.54,69.17,57.38,199,53.09,103.7,134.36
RAINY DAZE BREWING COMPANY,96.25,112.5,80,81.33,44.5,97.17,115.17,104.83,99.25,77,94,93.33
SNOQUALMIE FALLS BREWERY,,103.69,125.32,250.76,,95.99,102.4,119.98,167,68.25,,94.28
HALF LION BREWING COMPANY,79.55,141.27,193.75,65.09,49.35,120.13,218.95,106.16,,,86.73,124.75
BAYERN BREWING,123.29,188.5,35.02,33.79,120.9,123.78,86.22,74.08,134.3,33.67,69.29,
CRUCIBLE BREWING CO,127.76,78.92,228.77,92.9,49.25,199.72,,120.83,145.98,60.11,,86.56
FORTSIDE BREWING COMPANY,97.03,116.03,37.66,66.6,59.59,96.34,105.45,75.23,72.1,63.78,123.88,74.39
BAINBRIDGE ISLAND BREWING,92.48,104.54,71.56,58.44,62.22,113.68,83.22,79.15,83.84,68.35,100.46,91.84
BLOCK 15 BREWING COMPANY,76.6,78.3,94,79.1,65.2,88.6,100.7,92.4,79.4,93.2,62.9,113.4
DISTRICT BREWING,71.86,96.51,63.05,30.38,25.36,103.2,139.61,118.03,72.95,113.79,82.53,66.87
LOVERBOY,53,261.62,-9.41,,,,303.06,,-6.96,-67.9,72.9,303.82
LUCKY ENVELOPE BREWING,74.98,116.78,53.76,52.6,67.11,94.48,91.49,105.46,128.61,36.79,72.06,76.76
HEATHEN BREWING,128.08,-11.35,47.37,73.03,60.16,121.75,91.41,101.79,-1.19,-4.92,146.68,208.36
THREE MAGNETS BREWING,,175.46,,,,41.09,208.1,,129.63,228.27,22.1,93.64
WET COAST BREWING COMPANY,181.47,89.16,64.36,59.63,60.44,101.69,97.03,,92.57,62.55,71.17,79.01
PORT TOWNSEND BREWING CO.,,,,60,45,375,,,150,90,,150
CRUX FREMENTATION PROJECT,152.56,-0.17,,148.41,285.4,,-7.75,305.13,-2.61,-3.63,-13.39,-4.26
BELLEVUE BREWING COMPANY,73.89,69.48,120.66,57.15,40.89,114.79,60.8,69.68,65.29,94.34,88.04,123.56
ROOFTOP BREWING COMPANY,96.54,100.63,69.14,67.29,50.97,82.06,204.31,82.42,,,65.75,97.86
IRON GOAT BREWING,69.7,66.43,72.72,48.55,80.17,80.54,93.39,83.11,73.03,78.7,74.16,88.85
KULSHAN BREWERY,73.84,84.86,66.84,62.09,61.22,76.31,84.04,82.94,77.75,80.81,71.2,80.31
WESTERN RED BREWING,,,43.15,55.45,108.11,66.88,93.73,75.32,144.67,108.82,,172.32
DICKS BREWING COMPANY,135.35,,32.27,89.05,208.76,,101.57,,,91.68,,197.75
NORTH COAST BREWING CO.,61.24,133.65,87.93,96.71,93.27,55.45,83.63,160.86,-49.04,-3.34,118.33,64.7
DOUBLE MOUNTAIN BREWERY &,43.97,55.91,35.97,63.13,58.06,65.79,67.34,89.02,66.78,76.32,65.64,111.31
YAYA BREWING COMPANY,56,72.06,62.34,45.23,54,73.49,85.67,103.06,52.98,90.8,67.73,46.59
20 CORNERS BREWING,72.33,209.93,106.5,104.64,,,,147.98,,75.86,,132.3
METIER BREWING COMPANY,56.52,139.06,28.37,56.63,27.66,44.9,108.12,59.08,51.11,40.77,59.99,87.6
PARADISE CREEK BREWERY,128.27,75.59,35.69,49.02,47.38,88.99,70.97,43.02,69.75,46.33,46.37,52.06
FORMULA BREWING,91.5,55.81,52.71,,49,110.65,74.67,129.1,54.52,7,127.34,
CHICAGO AMERICA HOLDING,76,95.3,86.4,88,79.3,66.5,65.5,66.5,44,37.7,55.5,17.1
ANDERSON VALLEY BREWING,46.44,192.18,-1.79,-0.88,34.24,-1.05,93.47,101.23,-0.78,197.65,-1.35,25.58
PENN COVE TAPROOM,32.5,112,21.59,29,25.53,142.57,57.59,50.13,46.62,39.63,46.66,99.79
ARTISANAL IMPORTS,44.39,-56.12,-4.6,83.03,105.68,207,107.19,-22.65,153.85,-2.56,-20.97,82.31
ODIN BREWING COMPANY,150.87,71,,32.64,63.58,46,69,-0.13,52,39,41,85.6
LAZY BOY BREWING CO,50.39,89.16,17.83,73.61,56.33,45.82,42.58,47.36,58.32,43.27,70.81,63.33
RAM RESTAURANT & BREWERY,88.3,30,48.6,49.3,88.9,69.7,49.8,69.8,59.2,71.2,54.5,7.5
AIRWAYS BREWING COMPANY,59.13,65.24,48.28,47.15,34.16,63.67,55.17,54.68,52.93,60.89,63.45,74.75
THE SALISH SEA BREWING,,,83.97,-52.15,320.11,93.3,,,154.67,,,113.4
TRIPLEHORN BREWING CO,45.09,59,51,60,60,65,87,55,,56,80,62
COWICHE CREEK BREWING,96.99,117.11,5.17,37.5,59.66,36,46,48.5,43.49,16,31.67,69.66
TRAP DOOR BREWING,63.65,69.84,120.67,42.11,42.88,57.58,67.26,47.33,49.83,-0.39,62.74,96.7
EEL RIVER BREWING CO,0.63,20.57,10.8,,,17.47,6.25,497.8,7.73,13.2,12.97,17.69
NORTH JETTY BREWING,45.15,82.77,48.65,48.42,21.34,64.74,56.48,62.93,61.44,21.96,60.03,65.1
PITTSBURGH BREWING COMPNAY,184.25,32.07,,21.68,,100.86,,151.74,,,,90.02
LEFT HAND BREWING COMPANY,46.56,128.94,-1.91,61.72,127.06,40.43,-1.92,-3.6,27.76,71.17,-0.96,73.54
BIG TIME BREWING COMPANY,,97.5,,83.5,,120.95,,54.75,57.25,94.25,,62
BURKE-GILMAN BREWING,277.84,,17.9,33.1,34.2,83.3,,,28.7,,57.4,51.5
SUMERIAN BREWING CO.,,52.29,92.23,33.03,51.2,58.15,106.21,100.53,63.39,43.63,49.8,
BARHOP BREWING,51,,35.88,42,,57,117,83,,52.03,82.83,70
TOP RUNG BREWING COMPANY,,54.41,37.92,37.7,37.29,52.55,68.3,57.17,96.54,44.71,51.61,52.45
MEATHEADS SMOKEHOUSE AND,,,,,193,,,,130,229,,
ZOIGLHAUS BREWING COMPANY,-8.64,-0.81,53.19,41.51,40.58,67.9,45.65,40.05,100.15,49.33,33.19,125.3
MCMENAMINS KALAMA HARBOR,99.75,60.94,34.75,22.75,36.25,46.75,68.5,27,41.22,31,37.25,59.5
NOBOAT BREWING COMPANY,42,56.5,45.25,47.5,19.5,49,69.75,32,42,46,47,62
LEVEL BEER,46.35,61.51,44.95,49.66,49.96,50.05,60.52,54.13,52.39,18.65,35.56,33.75
BURWOOD BREWING COMPANY,44.54,49.02,34.09,38.49,30.95,46.96,72.16,46.22,51.73,39.67,36.3,56.25
BODACIOUS BERRIES FRUITS,26.75,39.99,27.42,46.17,24.42,45,39.99,24.42,31.42,65.17,84.17,83.91
THREE CREEKS BREWING CO.,63.98,35.38,32.92,52.87,49.31,49.82,31.82,65.19,83.16,38.22,14.64,21.14
BIG BLOCK BREWING,25.39,43.58,8.71,55.26,36.06,37.26,58.61,53.65,48.1,46.52,43.19,54.39
ANCHORAGE BREWING COMPANY,52.01,38.72,86.62,30,65.41,30.34,50.31,66.16,50.31,32.72,34.28,50.4
LOWERCASE BREWING,125.67,52.39,,,153.85,80.12,,,,67.63,,20.5
BOMBING RANGE BREWING,48.02,41.12,40.44,45.1,40.66,47.31,50.47,46.87,44.79,39.98,45.88,47.71
ANACORTES BREWERY,62.8,67.5,19.9,4.6,11.1,66.1,55.5,34.4,39.65,31,44.56,70.55
FAIR ISLE BREWING,42.56,61.92,25.05,20.99,35.06,36.94,104.07,50.87,33.26,52.3,46.95,0
STANDARD BREWING,45.98,86.6,35.56,43.14,44.56,,41,59.79,53.88,40.41,29.81,39.45
LOGAN BREWING COMPANY,44.42,55.29,36.79,68.33,,50.45,55.36,42.72,45.19,36.29,38.25,44.86
OBEC BREWING,41.36,56.23,41.31,22.65,24.6,50.34,116.65,21.13,,51.04,36.38,51.27
PERRY STREET BREWING,29,46,57,42.5,53,35.5,64,42.5,37.25,29.5,45.5,42
FLYING LION BREWING,27.27,51.75,33.11,39.64,29.26,32.64,49.07,25.64,58.92,59.75,38.03,54.11
TRUMER BRAUEREI,,43.58,,42.87,31.97,43.23,90.45,78.45,27.61,,90.45,12
BEARDSLEE PUBLIC HOUSE,27.5,57.5,53,37,32.5,50,39.5,52,55.5,29.5,30,44.5
STONES THROW BREWERY,,43.51,28,,25.36,49.54,48.6,73.4,92.86,70.95,,43
MELVIN BREWING COMPANY,87.04,72.62,26.52,26.02,19,0.39,19.41,49.92,30.66,29.65,37.74,71.79
VALHOLL BREWING COMPANY,39.47,56.89,33.49,27.36,27.2,53.48,45.59,44.61,45.09,21.95,29.61,52.39
SOUND2SUMMIT BREWERY,30.95,46.32,20.83,35.83,26.16,33.75,38.33,40.99,40.41,31.92,61.5,49.84
ISLAND HOPPIN BREWERY,35.06,67.68,,18.84,18.59,59.3,61.1,28,40.66,17.44,39.66,42.91
TWELVE PERCENT,52.5,52.36,,15.37,4.57,48.61,37.28,19.81,56.81,41.77,61.55,35.89
GRUFF BREWING COMPANY,,38.5,27,122.5,,35.1,36.5,,93.5,45,32,20
FAST FASHION,70,,40,48,75,30,48,,28,42,,80
CAMP COLVOS BREWING,37.9,48.8,29.9,55.8,,93.8,,32.6,41.9,66.4,,43.7
HEADLESS MUMBY BREWING,36.21,62.8,27.89,37.7,32.61,37.58,41.39,46.25,40.28,,29.69,49.61
HEADWORKS BREWING,22.28,43.73,41.77,49.47,31.61,46.19,28.5,48.31,42.74,21.95,31.78,38.5
WAYFINDER BEER,28.38,56.81,39.33,31.55,36.33,24.7,22.56,62.73,55.75,-8.36,62.1,31.61
SIG BREWING COMPANY,39.48,31.53,23.04,41.57,19.98,32.15,34.96,66.54,46.55,29.21,31.34,29.24
SILVER MOON BREWING,-0.5,,15.69,,80.56,80.61,,46.93,111.86,,21.77,53.9
MACHINE HOUSE BREWERY,62.74,42.69,21.1,29.31,21.4,37.33,23.38,49.13,19.61,39.79,49.69,19.65
RIVER CITY BREWING,41,27.7,20.82,,25.52,38.84,54.18,115.44,30.57,16.41,16.22,28.47
HALES ALES LTD,54.49,,,109.15,99.77,,3.48,109.82,12.34,,,
FLYING BIKE COOPERATIVE,38.75,66.16,,66.53,22.5,38.75,,33.14,25.67,23.08,72.64,
GLOBAL BEER COMPANY,,,,57,72,138,,,66,8,42.5,
WELL 80 ARTESIAN BREWING,41.23,30.92,32.57,39.42,27.08,40.5,27.75,35.59,45.62,13.83,34.58,44.75
DOOMSDAY BREWING COMPANY,33.5,41.5,27,30.5,31,36.5,37.5,39,31,32,32,34
MCMENAMINS,97,40.25,27.25,22,5.5,37.25,47.5,25.25,38.25,6,27.5,31
COOP ALE WORKS,,150.97,,,,149.81,75.48,,,,,
NORTHWEST BREWERY WORKS,,88.4,,,28.9,47,,81.6,59.3,73.3,-2.67,
EX NOVO BREWING COMPANY,71.08,,,78.8,,55.56,,,51.22,48.71,,69.33
ECHOES BREWING COMPANY LLC,28.83,47.59,31.84,16.83,17.85,38.18,34.09,35.91,31.35,40.55,43.83,39.53
MOUNT OLYMPUS BREWING,,,67.9,85.67,,57.01,,,95.97,39.12,,86.22
WENATCHEE BREWING CO,37.5,52.8,15.49,22,19,38.33,40.91,32,41.17,15.3,62.15,
REPUBLIC BREWING COMPANY,35.09,38.58,20.18,26.83,22.6,43.27,37.92,24.38,34.86,21.11,41.01,35.34
VALLEY BREWING COMPANY,,,,24.03,23.08,79.68,32.43,40.81,38.78,53.38,,66.6
RIDGEFIELD CRAFT BREWING,22.24,48.92,13.42,34.42,19.88,29.36,94.73,26.17,,49.73,,30.23
NORTH FORK,29.32,48.45,24.19,22.84,27.29,45.32,28.55,34.48,33.06,22.61,25.97,37.74
CAIRN BREWING,28.5,38,12.5,10.5,26,33,31,43.5,43.5,31.5,34,36
TERRAMAR,37.73,38.11,22.48,13.31,18.29,46.04,31.14,34.78,30.27,19.24,45.14,40.57
CENTRAL BEER IMPORT &,,,114.19,,,,236.72,,,,117.34,
FERMENT BREWING COMPANY,54.51,,24.83,,25.44,65.36,39.44,43.31,,17.25,31.25,75.36
MOTHER EARTH BREW CO,15.91,38.09,27.79,15.27,-4.6,70.6,28.04,26.84,46.79,37.96,37.94,32.39
BENNIDITOS BREW PUB,35,,31.38,19.89,37.01,14.66,37.16,36.38,44,,45.76,72.86
RATTLESNAKE MOUNTAIN,30.87,30.72,25.23,27.19,28.07,39.34,33.88,31.99,29.58,25.17,30.09,34.43
CAMO BREWING CO. INC.,181.16,13.21,66.05,33.02,,,,79.26,,,13.21,19.81
5 RIGHTS BREWING LLC,34.08,38.5,67.9,,26.52,81,,52.03,34.77,34.33,32.83,
COUNTERBALANCE BREWING,39.02,37.41,,40.84,27.28,28.46,42.68,39.74,36.39,,13.58,25.27
MAGNUSON BREWERY,27.85,96.81,7.4,16.4,22,,39,26.5,32,36.09,,34
ELLIOTT BAY PUBLIC HOUSE &,39.5,33.9,51.55,37.9,36,35.6,56.1,38.4,17.7,3.2,10,21.6
QUIRK BREWING,42.64,26.83,23.75,32.78,20.42,24,31.83,23.76,37.57,29,22.33,36.71
VICTOR 23 BREWING,48.53,38.15,38.89,7.71,14.15,46.76,27.6,42.9,14.22,15,9.25,62
RUSE BREWING,8.23,50.42,28.75,2.01,4.31,47,54.51,2,48.51,48.35,24.77,35.85
21ST AMENDMENT,174.01,49.34,56.05,39.6,-12.17,-14.63,95.87,-27.36,-14.28,-16.34,88.22,-37.63
RIVERPORT BREWING,26.3,38.75,23.31,27.53,21.65,33.21,31.8,28.68,26.8,24.96,27.5,36.97
SALISH SEA BREWING COMPANY,,,47.71,52.81,,123.76,,,73.32,,,69.02
OTHERLANDS BEER,33.12,,,42.13,,98.33,,,,86.31,,58.48
NORTHWEST BREWING COMPANY,,,,73,133,,,108,,,,
